courseSection,courseName,instructor,units,days,startTimes,endTimes,location
POLI 1,Introduction to U.S. Politics,Anne Baker,4,T Th,10:20 AM,12:00 PM,Rm 212 Kenna Hall
POLI 1,Introduction to U.S. Politics,,4,M W F,2:15 PM,3:20 PM,Rm 212 Kenna Hall
POLI 1,Introduction to U.S. Politics,Matthew Harrigan,4,M W F,1:00 PM,2:05 PM,Rm 214 Kenna Hall
POLI 1,Introduction to U.S. Politics,,4,M W F,9:15 AM,10:20 AM,Rm 214 Kenna Hall
POLI 25,Introduction to International Relations,Gregory Corning,4,M W F,10:30 AM,11:35 AM,Rm 111 Kenna Hall
POLI 25,Introduction to International Relations,Gregory Corning,4,M W F,8:00 AM,9:05 AM,Rm 133 Vari Hall
POLI 30,Introduction to Political Philosophy,Peter Minowitz,4,M W F,1:00 PM,2:05 PM,Rm 304 Kenna Hall
POLI 99,Political Science Research,Eric Mosinger,4,T Th,12:10 PM,1:50 PM,Rm 105 Kenna Hall
POLI 105,Special Topics - What is Virtue?,,5,M W F,11:45 AM,12:50 PM,Rm 128 Vari Hall
POLI 123,Global Environmental Politics,Dennis Gordon,5,M W,3:30 PM,5:15 PM,Rm 111 Kenna Hall
POLI 128,U.S. Foreign Policy,Farid Senzai,5,T Th,3:50 PM,5:30 PM,Rm 128 Vari Hall
POLI 144,European Politics,Diana Morlang,5,M W F,10:30 AM,11:35 AM,Rm 105 Kenna Hall
POLI 149,Special Topics in Comparative Politics (Authoritarian Politics),Jane Curry,5,T Th,12:10 PM,1:50 PM,Rm 128 Vari Hall
POLI 149,Special Topics in Comparative Politics,,5,M W F,2:15 PM,3:20 PM,Rm 128 Vari Hall
POLI 153,Minority Politics in the US,James Lai,5,T Th,2:00 PM,3:40 PM,
POLI 168,Special Topics in Public Policy (Criminal Justice Reform),Elsa Chen,5,M W,3:30 PM,5:15 PM,Rm 128 Vari Hall
POLI 170,Campaigns and Elections,Anne Baker,5,T Th,2:00 PM,3:40 PM,Rm 111 Kenna Hall
POLI 171,Gender and Law in the U.S.,Sharmila Lodhia,5,M W F,10:30 AM,11:35 AM,
PSYC 1,General Psychology I,Steven Del Chiaro,4,M W,3:30 PM,5:15 PM,
PSYC 1,General Psychology I,,4,M W F,8:00 AM,9:05 AM,Rm 120 Alumni Science Hall
PSYC 1H,General Psychology I - Honors,Jennifer Frihauf,4,M W F,10:30 AM,11:35 AM,Rm 206 Edward M. Dowd Art & Art History
PSYC 2,General Psychology II,Barbara O'Brien,4,M W F,11:45 AM,12:50 PM,Rm 120 Alumni Science Hall
PSYC 2,General Psychology II,Barbara O'Brien,4,M W F,9:15 AM,10:20 AM,Rm 120 Alumni Science Hall
PSYC 51,Statistics and Methods 1,,4,T Th,2:00 PM,3:40 PM,
PSYC 51,Statistics and Methods 1,,4,T Th,10:20 AM,12:00 PM,Rm 102 O'Connor Hall
PSYC 51,Statistics and Methods 1,,4,M W F,8:00 AM,9:05 AM,Rm 119 Music And Dance
PSYC 52,Statistics and Methods 2,Timothy Urdan,4,T Th,2:00 PM,3:40 PM,Rm 119 Music And Dance
PSYC 52,Statistics and Methods 2,,4,M W F,8:00 AM,9:05 AM,Rm 201 O'Connor Hall
PSYC 53,Statistics and Methods Practicum,Lisa Whitfield,4,M W F,1:00 PM,2:05 PM,Rm 302 Alumni Science Hall
PSYC 53,Statistics and Methods Practicum,Kathryn Bruchmann,4,T Th,10:20 AM,12:00 PM,Rm 301 Alumni Science Hall
PSYC 115,Psychopathology,Kieran Sullivan,5,M W F,10:30 AM,11:35 AM,
PSYC 134,Psychology of Education,,5,M W F,10:30 AM,11:35 AM,Rm 220 Alumni Science Hall
